Review,Rating
"Laptop 💻got dead within a year that with very nominal usage only for e-mail checking and on line school class that's it.Service center confirmed its motherboard issue...they didn't attend service after having product under warranty that too onsite visit...even giving excuses over phone one after another.Importantly, they asked lots of queries If customer buy product online from Amazon etc...even don't recognise online issued valid invoices on registered products. Keep your boxes intact to give proof of your product purchase in case purchase online.",1.0
Very Good product for this price range. 35650Boots within 10 seconds.Never lags. Battery life is also good. Gets 4-5 hours backup.Camera is poor but i rarely use it.256 GB is also seems less but its ssd which is superfast. I had 650gb hdd of older laptop that i converted into portable using casing.Overall i am exhilirated after buying this product.,5.0
"1.Fast boot up and shutdown2.Nice build quality (except keyboard)3.Apps opens very quick4.Track pad is good (gestures works perfect)5 .Great for students - normal office use.6.Screen is not FHD but not bad at all.7.After update restart takes time (very often)8.i3 10th gen is sufficient for normal use but if you can invest more can go for i3 11 gen.So overall experience is positive but only negative i found that it is fastster than my (lenovo Z50-70,intel i7, 8gb ram,4 gb nvidia graphics, 1tb Hdd). Here SSD is the king.I suggest to go with SSD only.",5.0
Go for something better. The laptop has begun giving multiple issues within the first few months.Service is unhelpful. And feels like the govt era service standards by Lenovo.,1.0
Battery life is unbelievable and camera too. I Haven't expect such premium featured laptop in such cheap price. Lucky me! 😆 i got it for 35k. Just go for it.,5.0
It's  ok,4.0
I am writing here after 3 months of use. The performance is only average and I got problems with the OS and keypad multiple times . I work an average of 2-3 hours a day on this laptop. When I try to open any item it open the property box. Upon searching I found out the Alt key is stuck and I need to change the keypad. I could never get peace with it after buying it.,1.0
"The customer supprot is pathetic, i registered complaint but there is no update on it for 3 days.There is no way to call customer support as when i try it gives me another number for ideapad which never works always busy",1.0
"Am buy the Lenovo Ideapad Slim 3i 10th Gen Intel Core i3 14 inch FHD Thin and Light Laptop (4GB/256GB/Windows 10/MS Office/Grey/1.6Kg), 81WD0044IN but i receive slim 3  . And its not good. motherbord is gone 15 days only.",1.0
"The product is a overall package and it is best for the daily use , i am a management student so i get a lot of assignments and projects , i have a lot of research work to persue so i think this system has never been slow ,it works perfect.IT HANGS WHEN I TURN ON FOR VERY FIRST TIME OF THE DAY(AFTER 4MONTHS F USE)I am using it for more than 3months now, the battery is good , the display is good ,the camera quality is okay okay not too clear but again i dont use it much so its okay,",3.0
At this price range no one is giving 8gb ram and ssd.. Although everything works fine... If u r student not a heavy user then goo for it later u kay upgrade its ssd...Not satisfied with keyboard there is no bakclit.. And fingerprint some of the laptop like asus is providing fingerprint and bakclit But doesn't matter.... only performance matter now a days hope my review satisfied ur questions...,4.0
"Overall good choice at this price. Boosting speed is high, also performance is good",4.0
"It is light weight therefore easy to carry around.. Haven't checked out all the features yet but from what i can see so far, it's a great buy for that priceSo after a couple.of months of usage, ive noticed that the sound isnt as 'surround' as promised... Speakers are quite average...The battery life is great and no issues with its other functions",4.0
"The laptop I recieved is a defective. Its just been 2 days and The battery starts draining quiet fast, laptop opens automatically it doesn't shup down, nor gets connected to wifi.I requested for a replacement. I get no call when the guy is coming collect and they don't wait. As they come they ask for a new laptop serial number but I didn't got any mail. they took the new laptop with them and told some guy would come to check no one came its being a week now. The worst service.",1.0
This laptop is very light weight and slim. This laptop is good for students of school as well as for students for college. It has privacy camera sutter which I like the most.I would recommend to buy 2 years warranty extension pack....,5.0
"An awesome piece, with long battery life, good camera, light weight and super quick. Never heats up. I must say my first experience with Lenovo. Thank you Amazon and thank you Lenovo for giving me this precious baby.",5.0
The laptop is fast durable and very light weight and it has the power of Intel Core i3 10 Gen Chip so it's way faster then the 8 or 9 Gen Chips.Make sure that if you want the performance as mine just go for the (4+256) variant. Even if you're a very intensive user this thing can set you for years along...,5.0
"This is day one review.Overall performance and battery backup is pretty impressive.All looks good but only one drawback found related to keyboard.Quality of buttons is very low, sometime feels hard to press. Feels like amount of pressure to press different buttons is different which is very annoying.",4.0
"initial first hand review... just arrived..smooth feel, smooth setup..very light. feel good. balance i will update after use",5.0
Very good for home user.1.battery backup is good minimum 6 hours2.booting is faster3.sound quality ok4.video graphics ok5.SSD disk size should increase6.camera quality should increase,5.0
No backlight keyboard as it was mentioned in the features. camera quality is just okay. It is Light in weight and is working fine as of now. Speaker output is low. There is no special feature in this laptop feels as if i paid lil extra.,3.0
