Review,Rating
"Pretty good , super good than what I tght Worth-able but weights are plastic but cool nice 😍😍READ MORE",5
Its really nice. Using it from past 1 week and have no complains. It contains 4 plates of 2 kg and 4 plates of 3 kg. Rod is also of good quality. Getting such a good product at this price range is amazing. Go for it.READ MORE,5
Dumbbells are good but rod and locks are not upto the mark.  Locks are very important in plate dumbbells and hence giving less rating otherwise excellent product. loved it.READ MORE,3
"having a good weight but I am ignoring the rod and the star lock, because we have rotate for a long time...  packing was really excellent I loved it..  thank you flipcartREAD MORE",5
"awesome product... very quick delivery thank u Flipkart...and those who are waiting to buy don't hesitate , buy the product asap . worth every penny ... very good quality 🤘READ MORE",5
Valuable for money. Product is too good. Timely delivered. I am Happy with this product. But one thing I will suggest... Please give extra fixing lock because one lock thread is not working properly. But I will manage . But keep extra two lock at least... Then it will best for customers . Thank you flipkart for giving such a good product.READ MORE,5
not to the mark but will work for few month if use properly not solid PVC with sand inside.READ MORE,3
everything is good but its made full of plastic anf cement so iam not satisfied in this product. i will like 2 buy a full of steel materialREAD MORE,1
"nice one25kg,3kg×4,2.5kg×2,2kg×4thank you flipkart😉READ MORE",4
nice productREAD MORE,5
Very Nice Products .. Velue of 💰READ MORE,5
I order 36 kg get this I am so happy go and buy this productREAD MORE,5
"So far Good. It's only been a week. Bought this first week of June 2020.Yes, it's not metal weights and it's clearly mentioned in the description, so I don't know why people say they don't like it because it's not metal.A few negatives i found is that, the bolts that hold the plates are cheap quality and I feel they will break soon. I hope I'm wrong.Other thing is that, you will get tired of rotating the bolt.It's too many, and i feel it is a workout on its own.Major inconvenience to say...READ MORE",4
SuperbREAD MORE,5
"Dear flipkart team please provide a rod nuts bcoz one nuts loose. Exercise time One nuts plastic part very loose. So pls arrange one rod nut, I want not return this product, pls reply me your suggestion.READ MORE",1
Only one problem is there..which is the nut which they provide.. rest the product is good. I ordered 20kg.READ MORE,4
"dumbbells are of good quality ... plates are not exactly of weight which is mentioned , it's weight is increased , which is a good prospectREAD MORE",4
I'm happyREAD MORE,5
GoodREAD MORE,5
Good product...READ MORE,5
very good product...👌👌READ MORE,5
dumbbell is very good quality and this dumbbell is more than enough for home exerciseafter long time I will start doing exercise at home this is new start for me and I am sure I will do itthanks FlipkartREAD MORE,5
super nice productREAD MORE,5
"Two rods and six plates, of 2.5kg each, supplied.That means three plates to one dumbbell. How is it possible ?Instead of six plates of 2.5 kg, it would have beenbetter if four plates of 2.5 kg each and four plates of 1.25 kg each were supplied. The supplier respondedthat the weight they had sent was ok.  A reply withoutany imagination !!!These led to the return.READ MORE",5
GoodREAD MORE,3
Overall good qualityREAD MORE,5
niceREAD MORE,5
Nice👍😊READ MORE,4
super packing was good and product is also goodREAD MORE,5
nice & superrREAD MORE,4
best gym kit for home.I really loved it good quality.READ MORE,5
The product is very good. Plates and rod are of good quality. Nuts are of plastic and it takes time to fix. But it is not a problem i suppose. Should wait to see how does it wear and tear. Width of plates is high and only two plates will fit on one side. But that's enough as the weights are high.READ MORE,5
nyc productREAD MORE,5
Thank You Flipkart.READ MORE,4
"It’s totally waste of money, don’t buy, rod are made of cheap plastic covered by Metal polish. 👎🏿READ MORE",1
amazing product 36 kg  fast delivery..READ MORE,5
Very nice to good very comfortableREAD MORE,5
Superb QualityREAD MORE,5
goodREAD MORE,5
Worth it...READ MORE,5
rod quality is too bad....READ MORE,3
"Good product, except the plastic nuts.READ MORE",4
Good product for beginners. Received in good condition.READ MORE,4
Worst product don't buy it .trust me don't buy itREAD MORE,1
Very good Quality Product 🔥🔥READ MORE,5
nice productREAD MORE,4
Good product in this budget...but there is one 3kg plate instead of 2.5kg..READ MORE,4
"nice product , good quality , good for home Jim workout .....READ MORE",4
averageREAD MORE,3
don't buyREAD MORE,1
worst product becoz this is a plastic productREAD MORE,1
Awesome...READ MORE,5
GoodREAD MORE,2
Every plates have different weights not a single weight is accurate for example if 3kg written on plate but its actual weight will be less or more. My 3kg plate weight is 3.2kg and another 3kg plate weight is 3.3kg. Every plates have different weight. Its totally waste of money.READ MORE,1
goodREAD MORE,3
very very very poor quality waste materialREAD MORE,1
Right choice to bay the productREAD MORE,5
it's made if plastic and filled with nothing but mud. total weight 12 kg. 6 each. 3 on each side of a dumbell total 6 kG.READ MORE,1
Really love this product 👍👍👍👍value for moneyREAD MORE,5
product is too good but delivery is too badREAD MORE,3
wast product no iron only cementREAD MORE,2
Good quality. Two plates have scratches. Nice.READ MORE,4
Good oneREAD MORE,5
Very nice product 👌😍😊READ MORE,5
Nice but screw bolt is very bad quality and not easy to remove and tighten again. Rest of part almost good.READ MORE,3
3kg weight plate is damaged and low qualityREAD MORE,3
Not bad product but rod are totally made with plasticREAD MORE,4
"Good product, just that the nuts are get loosen up. The product is very genuine. Come with 3 kg and 2 kg plates (3X4 & 2X4)READ MORE",4
GoodREAD MORE,3
After waiting so long...They give me damage one .....plz .don't buy this oneREAD MORE,1
Good productREAD MORE,3
"The screws with which you keep the weights in place are a hassle when it comes to changing weights.Spring stoppers are a much better and easier option.The quality was ok, good for beginners and home workouts.READ MORE",3
Product is good can't add more than two plates on each side.READ MORE,4
Very impressive and are best in this priceThank youREAD MORE,5
"Really it's very good, worth the price#awesome productREAD MORE",5
nice product 22kg.....😍😍READ MORE,5
go for only Max 20kg weight each rod only cary 4 platesREAD MORE,1
dumbbells quality is good but trust me the quality of rods given    is not goodREAD MORE,4
good product.READ MORE,3
GoodREAD MORE,5
"Need real metal in rods, and nut should be of metalsREAD MORE",3
niceREAD MORE,5
value for moneyREAD MORE,4
"Don't by this Its only a plastic can filled with the sandal.I don't know why flip kart sell this kind of product.Once we start use, its better to take some cushions for keeping the dumbbell, other wise the plastic can will crack.READ MORE",1
Shipped with out any damage product quality is niceREAD MORE,5
it's not good nut rod is not good thread is very small n nut is plastic plates r also plastic.READ MORE,2
HappyREAD MORE,5
Product is not at all good nuts are in worst conditionREAD MORE,1
Only the screw was very loose so i have to tie a rubberband around it and else very thing was fine only the screw was little old and little baldREAD MORE,3
Very bad productPls don't buy it . Within 1 month the star nut gave it up totally useless productREAD MORE,1
Best in this range...READ MORE,4
look like good but using for not  perfectREAD MORE,3
"Nuts are of plastic and poor quality, rod material is of very low quality and not strong enough, I bought 36 kg pack and now regretting. If you want to buy it order of 20 kg as more weight can't be adjusted on the rods. 😢😢 I recommend to buy a complete pack of dumbbell with long rods.READ MORE",2
in pvc plate damage and very poor material in case plates  sleep on hand they definitely brokenREAD MORE,1
Quality is not good. weight less dumble. no weigh feeling while lifting the dumble. at a time u can't put 20kg one side. waste materialREAD MORE,1
These weights are plastic containers filled with some thing. Not worth calling dumbbells.READ MORE,1
good but handle threading is not niceREAD MORE,3
Heavy material i satisfying thisREAD MORE,5
okREAD MORE,2
it's costly actuallyREAD MORE,4
goodREAD MORE,4
Not a badREAD MORE,2
Here it is written and shown that the rod is made up off steel.. but the delivered product is made up of plastic which feels cheap and is not durable. Very disappointed.READ MORE,2
Nice one.. got it early in lockdown.. have to use.. product is very good no damage at all.. thanks to the seller.READ MORE,4
good for home work out...quality of clips should be improve...READ MORE,4
comfortable .And in the dumbbells cements are present...READ MORE,5
Low qualityREAD MORE,2
GoodREAD MORE,3
Nice 👍READ MORE,5
Pvc plate is ok but duamble road and nut is not okREAD MORE,3
Not goodREAD MORE,1
"Not good for daily use, due to circle shape cannot be used for all exercises. There is always fear of its rolling.READ MORE",2
It was okayREAD MORE,3
Very Impressive to pvc dumbbellsREAD MORE,5
Never buy this totally waste of moneyWorst dumbbell ever I seen in my lifeREAD MORE,1
Nicely delivered and awesome product for home gymREAD MORE,5
NiceREAD MORE,5
NiceREAD MORE,4
Avrage Quality. But Nuts are badREAD MORE,2
FantasticREAD MORE,5
Good productREAD MORE,5
low qualityREAD MORE,1
NiceREAD MORE,4
The quality is awesome and good built in quality. Loved the product ❤️READ MORE,5
"Poor PVC shells filled in with some sort of sand cement mixture.. 2 weight plates were in broken condition.. And the quality of their shells and inside material was visible.. One need to handle these please plates like a coffee mug, and if you drop it its all over and ready for cleaning the mess..Guys,Better dont buy this item looking at the discount and pricing.. It will take much effort to return this heavy pieces so I am keeping it with regret..READ MORE",1
NicREAD MORE,5
"Not a good product , the nuts are made of plastic and gets damage very quick on every use , also the weight of plates are not very similar on this price point it should be a metal nut please check and go for metal nut not for this plastic one or you will waste your moneyREAD MORE",2
Very goodREAD MORE,5
very goodREAD MORE,5
Ossom ProductREAD MORE,5
Overall is Best in this price but only issue is dumbells plates cover lot of sizes if i placed on the rode....but anyway overall is best go for it.READ MORE,4
It's good for home gymREAD MORE,5
superREAD MORE,5
ThanksREAD MORE,5
Nice productREAD MORE,3
Gud product...READ MORE,4
Very goodREAD MORE,5
One side nut Is very low quality but all weight is god margin but nut not good qualityREAD MORE,2
Worth for money. No more conditions buy it.READ MORE,5
Good productREAD MORE,5
Best qualityREAD MORE,5
Nice productREAD MORE,5
Uncomfortable during work out..READ MORE,2
LoosREAD MORE,2
Weight nice👌 but rod and 🔩bolt very bad👎READ MORE,2
This is goodREAD MORE,5
Very poor quality and nut was damagedREAD MORE,2
goodgoodREAD MORE,5
Plate quality is very poorREAD MORE,2
Happy with itREAD MORE,5
it's fantasticREAD MORE,4
Value for moneyREAD MORE,4
Quality not goodREAD MORE,2
Not that goodWeight is unshaped Rod is not upto the mark.READ MORE,2
niceREAD MORE,4
"It does not solve the purpose, when you have to change the  weights. Evry time you put in or drop rhe weight you are required to un screw rod and evry time your 2-3 mins are gone And you need up taking more time un between your sets. It's ceamented weights with plastic rod makes it look big but not accurate at weights. Not preffered in above scenario. If you gona use weight fix everytime in each year exercise it might sound well for you. At max could go up ro 12.5 weight per double.READ MORE",2
Okay for the amount spentREAD MORE,3
"Bolt is use less,  its plastic bolt we can't use this regularlyREAD MORE",2
Good product at low priceREAD MORE,3
GoodREAD MORE,5
The product quality is disgusting don't buy just waste of money the material is totaly bogas it damage in 2 days the material inside the dumbbell plate is full of wet sand and the weight is not accurate the 2 kg dumbbell weight is more that 2.5 kg plateREAD MORE,2
AwesomeREAD MORE,5
Ok buyREAD MORE,4
Product was not goodREAD MORE,1
GoodREAD MORE,4
Good product n comfortableREAD MORE,4
It ok ok...READ MORE,3
"The only issue with 22 kg is that the weights are not distributed proper, got only 2 plates of 1 kg which can be added to only one dumbell, I would say go for single only anyways it takes lot of space.READ MORE",5
NiceREAD MORE,5
Worst product ever seenREAD MORE,1
Value for moneyREAD MORE,5
Not bad but small small damages pvc material inside stone powderREAD MORE,3
Not able to put all weights togetherREAD MORE,2
GoodREAD MORE,4
Poor quality productsREAD MORE,1
Dont buy anyone. Its plastic meterial doesnt strong. I have received cracked piece very bad.READ MORE,1
Average productREAD MORE,3
OkREAD MORE,3
GoodREAD MORE,4
Thread is too bad on the stickREAD MORE,3
Nice product but use carefully because is PVC so its very  delicate. It can break very easily.READ MORE,4
Excellent but grip not goodREAD MORE,5
Good qualityREAD MORE,5
Not SatisfiedREAD MORE,3
Weight is mismatchREAD MORE,3
GoodREAD MORE,3
Perfect!!!READ MORE,5
Nuts of the rods are ridiculous. They wear out within few days and its a total waste.READ MORE,2
Best productREAD MORE,5
Quality isn't good as they mentioned. Don't waste your money . Add more money and buy something good quality.READ MORE,3
Dumbbells were damaged...READ MORE,2
Rubber nut became free after 3-5 times use due to poor quality. It should be replaced with metallic nut.READ MORE,3
This product Mony lossREAD MORE,1
Very good product for exerciseREAD MORE,5
GoodREAD MORE,4
NiceREAD MORE,4
Good productREAD MORE,5
Nice 👌👌READ MORE,5
Worst productREAD MORE,1
Best productREAD MORE,5
Bad quality plasticREAD MORE,2
Don't think guys and go ahead it's what i wanted.READ MORE,5
Picture only very brightREAD MORE,2
Very helpful in lockdown Specially for women who wants workout at homecan order thisREAD MORE,5
Good product 🥳❤READ MORE,5
Very best product 👌👌READ MORE,5
Excellent ♥️🔥READ MORE,5
NiceREAD MORE,5
Value for money ❤️READ MORE,4
SuperREAD MORE,5
Everything is ok but nuts are plastic so it is descent productREAD MORE,3
Worst product ever.... Plz don't buy this I rqst all of you just don't buy it... The bolts are of very bad quality.. the do not fit in the dumbles... The plates are ohky btw cannot fix them in dumbells....READ MORE,1
Good product in that price.. Value of money..READ MORE,5
Serves the purposeREAD MORE,5
Truly satisfied... Thank youREAD MORE,5
Bad quality of star nutREAD MORE,3
Product quality is not goodREAD MORE,2
It's very nice product but delivery it's very late and dumbbell weight is very nice heavy good value product 👍🏻👍🏻READ MORE,4
Good oneREAD MORE,4
Very good product at reasonable pricesREAD MORE,5
Very niceREAD MORE,5
Nice productREAD MORE,3
The product is very bad screw gets freeREAD MORE,1
Awesome product love itREAD MORE,5
I got it damagedREAD MORE,1
Poor quality productREAD MORE,2
its goodREAD MORE,3
Very very good ...thanks flipkart.READ MORE,5
It's good it now I didn't even face a problem with itREAD MORE,4
GdREAD MORE,4
"36kgs at Rs.1700 is a great deal. These are plastic hollows filled with sand. So the weights might not be precise. But works well if one is working out at home. The benefit of the plastic plates, is that it won't make too much noise when being kept on the floor.READ MORE",5
very low qualityREAD MORE,1
Love the product.. Same as the oicture..READ MORE,5
Durable product I love the product did the work and using since a month thank you Flipkart.READ MORE,5
Gud but made of plasticREAD MORE,4
Product is okeyREAD MORE,3
Super 👌🏻READ MORE,5
Awesome product... Value of moneyREAD MORE,4
"Good product, really liked it.READ MORE",5
Writing this review after 1 week of use.Great product for beginners.Compared to other brands quality is far better.Dumbbell grip is so good.No need for gloves.Recommended.READ MORE,4
NYC products thanks flipcardREAD MORE,5
Excellent product..i love it very much..thank you flipcartREAD MORE,5
Not yo to mark & palte is chipped. Very local and poor quality material.Only exchange available no return policy on product.READ MORE,1
Not bad but.. more than weight lessREAD MORE,3
Nice dis product good 👌👍READ MORE,5
Very very good productREAD MORE,3
Very poor productREAD MORE,1
WonderfulREAD MORE,5
Waste of money . Sand filled in plastic plates.Very poor material. Even all plates didn’t fits on road You can make maximum 11 kg dumbbell . Not 18 -18 each .READ MORE,1
Material quality very 👎 bad I am not happy product quality regardingREAD MORE,1
Worst productREAD MORE,1
Average productREAD MORE,3
I just love this product Fast Delivery Thank You FlipkartREAD MORE,5
GoodREAD MORE,5
Go Fo r ItREAD MORE,5
As per the price product look quite durable ... Lets see but the plastic lock i didn't like very much ... Otherwise product is good and weight is also accurateREAD MORE,5
Very nice productREAD MORE,5
Tightening the screw takes so much of time which is not supposed to be the case. Otherwise the product is good so far.READ MORE,3
Fabulous qualityREAD MORE,5
I bought this product about a month ago and have used it about 4-5 times and already the threading on 1 dumbbell rod and 1 dumbbell screw is gone. Very bad quality product. Please don't even consider buying it. It's the worst.READ MORE,1
"Don't buy , worst productsREAD MORE",1
superREAD MORE,4
"Scope of improvement...nuts are really not up to the mark, plates are okay okay but not long lastingREAD MORE",3
I'm 60% satisfied with this product. 3 & 2.5 kg plates were good. But 1 2kg plate was damaged partially & material was leaking through it spontaneously. This is not expected. But the delivery executive was good. & The delivery process was smooth.READ MORE,3
Good product as compared with priceREAD MORE,4
Nice productHas good qualityREAD MORE,5
SuperrrrrREAD MORE,5
"Weights are  ok  but scrues are worst.its useless after using 2,3 timesREAD MORE",2
The quality is not very good and not happy with flipkart packaging👎READ MORE,2
I have to hit this item as fast as I can because I have been hitting it for so many days that I do not have time to hit it so I have to hit to get it as soon as possible.READ MORE,3
Very poor quality...sand come out from it...READ MORE,1
NiceREAD MORE,5
Nice products Awesome 👍👍👍👍👍READ MORE,4
Quality is not good damageREAD MORE,1
Not that goodREAD MORE,3
GoodREAD MORE,5
Nice productREAD MORE,5
36kg? serves no purpose at all...they should have provided 5 kg plates .. Each dumbbell can be maxed upto 11kgs... And the bolts ...Adding and removing plates can be so hectic ... And i dont think that both dumbbells weigh the same...READ MORE,3
Product is quite good . Go for itREAD MORE,4
I don't like thisREAD MORE,3
"When I opened this from plates, sand came out and its looks very bad.READ MORE",1
"Very very bad experience on Flipkart, rod and 2 kg dumble are missing they were not responding to call  long period taken to delivery productREAD MORE",1
Okay okay nt so goodREAD MORE,3
Plastic nuts of 14 inch bar was not good working very hard to fit and time consuming  Weight plates are goodREAD MORE,3
Very very dis satisfied!! Every time I put the weight inside the bars it always remains loose and the weight plates didn't stick to the bars!! 👎👎READ MORE,1
I am satisfied with this productREAD MORE,5
It's good but not that much good quality... But okk okk productREAD MORE,3
Very good product ...and quality is also good.dumbell weight is sufficient for begginers and intermediators and you will feel good at the time of lifting so according to me it is a great purchase..just one problem I face in that lock is so tight and its very difficult to lock and unlock tha plates it is time consuming ..so please solve this issue...otherwise it is a great deal.READ MORE,5
Could be better..Should have given metal bolts..READ MORE,3
Defective productREAD MORE,2
Product and sellers both are not goodREAD MORE,1
SuperbREAD MORE,5
It order it twice cuz first one was broken but again replacement they send also broken and quality of the plates very poor.. I recommend don't go for theseREAD MORE,2
Product is very good and worth of money but the problem is after two or three days the plastic nut is lose and weights is fall off when we do exerciseREAD MORE,3
It's goodREAD MORE,5
Product is not good ..bcoz in plate no proper weight ..and doumble rod is not good ..poor qualityREAD MORE,1
Good quality.. Must buyREAD MORE,5
"I got wrong number of plates , also weights are too wide , rod too smallREAD MORE",2
Good one👍READ MORE,5
Ok okREAD MORE,3
Very nice product good paking 😍😍READ MORE,5
Bad 👎READ MORE,1
Weight tieting bolt is very poor qualityREAD MORE,3
Bad materialREAD MORE,1
Bad quility. And damag after 1 St month..READ MORE,1
Nice product ..READ MORE,4
Low quality product. Is not good products .READ MORE,2
"Quality is as expected...Premium qualityWorth moneyIf u want premium quality dumbles than dont wait,buy this u will not regret!!READ MORE",5
Good product value for money ❤️READ MORE,5
Very very poor quality 💩READ MORE,1
"2 plates were damaged, I have joined them with M seal. Rest product is good.READ MORE",3
poorREAD MORE,1
Wonderful 😍READ MORE,5
Waste of moneyREAD MORE,1
Very good productREAD MORE,5
Dumbbells were quite dented from edges. Otherwise nice productREAD MORE,4
NiceREAD MORE,4
Super cheap quality..totally waste of moneyREAD MORE,2
Good product2 of the plates were having slight scratches and damage Overall okREAD MORE,4
Very bad qualityREAD MORE,1
The quality is low  i get the dumbles and the rod .The rod is brokend  quality is not goodREAD MORE,2
GoodREAD MORE,5
Very good productREAD MORE,5
Very nice quality everything is genuineREAD MORE,4
Good productREAD MORE,5
GoodREAD MORE,4
local quality West of moneyNo same weightREAD MORE,1
very good product...but lock is cheap.. don't know how long it will survive...aside everything fine..bes in the price...good courier Also...READ MORE,5
Good quality...best productREAD MORE,5
Some Waight missingREAD MORE,3
"Plates quality can be better, few plates were pressed, may be be during transportation. I found aurion plates far better in quality. However best in rangeREAD MORE",3
Delivered on time.plates are good but caps are not goodREAD MORE,4
Low qualityREAD MORE,2
It's really niceREAD MORE,5
Awesome productsREAD MORE,5
Good product Same as in the imageUsing daily. Buy the product without rethink.READ MORE,5
Excellent product worth the money but the only issue is star screw nut locking system.READ MORE,4
Don't buy.READ MORE,1
Damage and quality was also very poor. Side screw for tighting the weight to the rode is very slippery doesn't get tighty and may cause future damage while training.READ MORE,1
this is not we predicted product We need weights of 5kg SorryREAD MORE,1
Received insufficient parts. Dumbell side lock not provided.Quality is not that good.READ MORE,2
It's exactly look as same as picture ..and weight are also accurate ..go for itREAD MORE,5
Very poor qualityREAD MORE,1
Not bad it's quite good. Need some improvement in weight plate plastic. Otherwise satisfied product.READ MORE,4
Nice product for person who want to do workout at homeREAD MORE,5
"Discs are good but Rod is not good and nuts are made with very cheap plastic after a week use, nuts are loosen and breaks, they should give some more nuts with the set or metal nutsREAD MORE",2
Filled with sand..worst qualityREAD MORE,1
"Amazing product but the nuts are little tight to screw in and out,but in this price, just go for it.READ MORE",4
Quality can be a little bit better. Overall worthy.READ MORE,4
The weights are quite ok ok but the locks are made by plastic they will not last more then a weekREAD MORE,2
"Cannot add all the weights at once . Max you can add is 12kg for one dumbbell only.. if you want two equal dumbbells, then you can only have 11 kg.. not too comfortable, but it's worth its price range and for workouts at home during such pandemic!!READ MORE",3
"Product is good as price point, u can use it at home everyday aggersive but not throw it even from 2 inch, overall good for beginners not for intermediate as they throw the dumbles after useREAD MORE",4
Product quality is not good Poor plastic coverREAD MORE,2
Everything's good according to price... Just doesn't gets sense of those 1kg plates. There are only 2 of them so I can only use it in only one dumble.READ MORE,5
"Awesome product36 kg 1450rs Very nice Imagine weights properly before order.I ordered 36kg. 3kg X6,  2kg X4, 2.5kg X 4It's huge for home exercise.READ MORE",5
Good product in this priceREAD MORE,4
It good to use and a perfect one to workoutREAD MORE,4
"Good product but lock not good 👎,READ MORE",3
Very nice product and as you can see the images they are exact the same when you see it in real. Everything is perfect and i would surely recommend to take this as its cost is also too low.READ MORE,5
Nice productREAD MORE,5
Good product and good delivery service..READ MORE,5
Budget product for home workout for a beginnerREAD MORE,4
Am so happyREAD MORE,5
Good productREAD MORE,5
Nice product..value of moneyREAD MORE,4
Good productREAD MORE,4
product is very good. but delivery took 13 days !READ MORE,5
NiceREAD MORE,5
quality is not up to markREAD MORE,3
"Overall nice product, I will say value for money. GO FOR IT.READ MORE",4
Good.READ MORE,3
Very good quality with a low price.READ MORE,5
Product is not upto mark.READ MORE,3
Quality is good but the rod is too small for weights ican only put 12kg in one hand.READ MORE,2
Wrost product don't waste time and money on it. I have found already breaked at seals with in one dayREAD MORE,1
NiceREAD MORE,5
GoodREAD MORE,4
SatisfactoryREAD MORE,4
happy with the productREAD MORE,5
Avarage qualityREAD MORE,4
I was expecting more from the product by seeing picture given by the customer but the product I find was nice but I was expecting more from it overall it's nice.READ MORE,3
Pretty good purchase!READ MORE,4
Use and damage productsREAD MORE,1
thank you for this product it is so amazingREAD MORE,5
GoodREAD MORE,4
Value for Manny not bad.READ MORE,2
Very bad product pls don't buy .very bad  screw systemREAD MORE,1
"Product is ok in this price range even must say fixing plastic bolts are of the poorest quality, seller must resolve this by providing replacement of the same.READ MORE",2
Bad qualityREAD MORE,1
"Good Decent, Value for MoneyREAD MORE",5
Perfect for fitness trainingREAD MORE,3
Good productREAD MORE,5
Nice 👍READ MORE,4
SuperREAD MORE,5
superb broREAD MORE,5
Its quality is not enough for that. I think it's handle is covered with a good material but it wasn't.READ MORE,3
Plastic lock nut quality not okREAD MORE,1
Nice productREAD MORE,5
Excellent rupeshREAD MORE,3
Very worst quality and packaging I have ever experienced from Flipkart.READ MORE,1
NiceREAD MORE,5
Not for quality but service is excellent And delivery boy behavior is very goodREAD MORE,5
Average product @ reasonable priceREAD MORE,4
Product is good but quality is very bed after 3 days use damagedREAD MORE,2
sand was leaking from it when I received. Tried to return it the return time was 1 month. gave up and it's just lying dirting my room.READ MORE,2
Valuable productREAD MORE,4
It takes 10 to 15 minutes to adjust dumbbells..nut of dumbbells are very hard it is much difficult to adjust weight then exercise from it ...READ MORE,1
Third grade product...I would rather give negative if it would have been possible...the dumbel rods and the plastic nutsare the pathetic one.....READ MORE,1
Good suparrREAD MORE,5
Very badREAD MORE,1
Happy goodREAD MORE,5
Wery good quality productsREAD MORE,5
Average quality but goodREAD MORE,3
Value for money.  Good quality 🙂READ MORE,5
Not goodREAD MORE,1
Not badREAD MORE,3
Star nuts very bad😠😠😠READ MORE,1
Good but the screw is loose I like this productREAD MORE,4
Rode finish is so bad cement plates wasteREAD MORE,1
Bad qualityREAD MORE,1
Very badREAD MORE,1
Its like cheap plasticREAD MORE,1
Excellent value for money. Does the job requiredREAD MORE,5
Not goodREAD MORE,1
Thank for dilivered good product..READ MORE,5
Low quality products and one plate is damageREAD MORE,4
Waste items.READ MORE,1
Product is GoodREAD MORE,4
Good product ...but rod nd nut bolt is not strong...READ MORE,5
One of 3kg dumbbell has bad and dumbbell bar also badREAD MORE,3
Ordered 25kgs set. Product delivery in time. Satisfied with the product.READ MORE,4
Not good...don't waste your money ...READ MORE,1
You can use plasticREAD MORE,3
Simply goodREAD MORE,5
Just g00dREAD MORE,3
GoodREAD MORE,5
Amazing product .👌READ MORE,5
Rod quality is very poor. Waste of moneyREAD MORE,1
"The weights are good and accurate but the bolts are weak, one bolt's thread rod ripped in about a month of regular usage.READ MORE",3
"The weight locks are not very good quality, gets loose some times and weights come outREAD MORE",5
Good productREAD MORE,4
GOODREAD MORE,3
Super product Iam very very happy Thank you FlipkartREAD MORE,5
Awesome products 👍👍READ MORE,5
nuts are loose and not strong otherwise product is good...they should provide 2 extra nuts.READ MORE,4
For the price of 300 it's okREAD MORE,4
Not metal it's plasticsREAD MORE,4
Was not tight... Weights were loose when kept in rodREAD MORE,1
